cohort_week,cohort_size,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20
2026-01-01 ~ 2026-01-07,41310,100,34.83,30.05,25.79,20.27,12.47,7.31,9.32,11.06,10.93,11.88,12.71,13.99,15.33,15.83,17.5,16.91,16.91,16.91,16.91,16.91
2026-01-08 ~ 2026-01-14,33180,100,30.05,22.21,14.44,7.91,3.96,4.84,6.22,6.07,6.52,7.32,8.48,8.62,9.49,11.13,11.56,8.98,8.98,8.98,8.98,null
2026-01-15 ~ 2026-01-21,33564,100,26.35,14.3,6.72,3.39,3.95,4.53,4.52,4.57,5.44,6.11,6.39,7.31,8.82,8.74,6.97,6.62,6.62,6.62,null,null
2026-01-22 ~ 2026-01-28,31217,100,19.09,6.81,2.97,3.9,4.08,3.62,3.88,4.44,5.25,5.41,6.04,7.49,7.96,6.09,5.81,5.37,5.37,null,null,null
2026-01-29 ~ 2026-02-04,21437,100,12.28,4.41,4.54,5.19,4.13,3.98,4.38,5.12,4.83,5.38,6.52,7.5,5.99,5.25,4.97,0,null,null,null,null
2026-02-05 ~ 2026-02-11,11789,100,9.86,8.08,7.04,5.34,4.86,4.39,4.68,5.37,4.46,5.68,5.83,6.34,5,4.68,0,null,null,null,null,null
2026-02-12 ~ 2026-02-18,5391,100,15.06,8.66,6.27,5.36,5.43,5.75,6.68,5.12,5.97,5.51,7.57,4.95,5.42,0,null,null,null,null,null,null
2026-02-19 ~ 2026-02-25,7410,100,13.6,6.91,6.46,6.65,6.07,6.23,5.79,6.13,5.96,6.99,5.4,5.6,0,null,null,null,null,null,null,null
2026-02-26 ~ 2026-03-04,8604,100,12.24,9.43,8.58,8.38,8.21,7.62,7.74,7.25,6.8,6.09,6.25,0,null,null,null,null,null,null,null,null
2026-03-05 ~ 2026-03-11,7562,100,15.75,12.67,12.01,11.89,10.58,10.1,10.61,8.74,9.18,9.36,0,null,null,null,null,null,null,null,null,null
2026-03-12 ~ 2026-03-18,7612,100,18.05,12.85,12.03,12.07,11,10.19,8.55,8.6,8.59,0,null,null,null,null,null,null,null,null,null,null
2026-03-19 ~ 2026-03-25,8641,100,18.18,13.44,13.19,13.25,11.73,9,9.44,9.45,0,null,null,null,null,null,null,null,null,null,null,null
2026-03-26 ~ 2026-04-01,9894,100,16.76,13.5,13.16,12.94,9.67,10.26,9.55,0,null,null,null,null,null,null,null,null,null,null,null,null
2026-04-02 ~ 2026-04-08,11053,100,16.55,14.22,12.23,11.71,9.2,8.91,0,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-04-09 ~ 2026-04-15,11775,100,20.03,14.73,11.05,10.62,9.99,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-04-16 ~ 2026-04-22,14378,100,18.45,10.59,9.28,8.92,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-04-23 ~ 2026-04-29,15486,100,13.89,10.82,9.95,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-04-30 ~ 2026-05-06,13183,100,14.12,10.73,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-05-07 ~ 2026-05-13,12212,100,17.58,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026-05-14 ~ 2026-05-20,12056,100,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
